# Program:featureCounts v2.0.0; Command:"featureCounts" "-a" "assembly/annotation.gff" "-F" "gff" "-t" "CDS" "-g" "ID" "-o" "assembly/counts.txt" "assembly/contigs.bam" 
Geneid	Chr	Start	End	Strand	Length	assembly/contigs.bam
LIHFGKIE_00001	NODE_1_length_164833_cov_14.237466	235	1014	-	780	152
LIHFGKIE_00002	NODE_1_length_164833_cov_14.237466	1151	1483	+	333	33
LIHFGKIE_00003	NODE_1_length_164833_cov_14.237466	1486	1785	+	300	34
LIHFGKIE_00004	NODE_1_length_164833_cov_14.237466	2582	3757	-	1176	174
LIHFGKIE_00005	NODE_1_length_164833_cov_14.237466	3881	4495	-	615	92
LIHFGKIE_00006	NODE_1_length_164833_cov_14.237466	4560	5591	+	1032	165
LIHFGKIE_00007	NODE_1_length_164833_cov_14.237466	5755	6528	+	774	154
LIHFGKIE_00008	NODE_1_length_164833_cov_14.237466	6562	7587	+	1026	202
LIHFGKIE_00009	NODE_1_length_164833_cov_14.237466	7732	8457	+	726	115
LIHFGKIE_00010	NODE_1_length_164833_cov_14.237466	8457	9014	+	558	34
LIHFGKIE_00011	NODE_1_length_164833_cov_14.237466	9017	9751	+	735	80
LIHFGKIE_00012	NODE_1_length_164833_cov_14.237466	9754	10569	+	816	96
LIHFGKIE_00013	NODE_1_length_164833_cov_14.237466	10582	11838	+	1257	195
LIHFGKIE_00014	NODE_1_length_164833_cov_14.237466	11866	13563	+	1698	195
LIHFGKIE_00015	NODE_1_length_164833_cov_14.237466	13569	17879	+	4311	613
LIHFGKIE_00016	NODE_1_length_164833_cov_14.237466	17990	18466	+	477	79
LIHFGKIE_00017	NODE_1_length_164833_cov_14.237466	18486	19679	+	1194	146
LIHFGKIE_00018	NODE_1_length_164833_cov_14.237466	19689	19985	+	297	9
LIHFGKIE_00019	NODE_1_length_164833_cov_14.237466	19988	20299	+	312	9
LIHFGKIE_00020	NODE_1_length_164833_cov_14.237466	20304	22907	+	2604	336
LIHFGKIE_00021	NODE_1_length_164833_cov_14.237466	22927	23292	+	366	24
LIHFGKIE_00022	NODE_1_length_164833_cov_14.237466	23348	24241	+	894	95
LIHFGKIE_00023	NODE_1_length_164833_cov_14.237466	24262	25197	+	936	126
LIHFGKIE_00024	NODE_1_length_164833_cov_14.237466	25335	26384	+	1050	129
LIHFGKIE_00025	NODE_1_length_164833_cov_14.237466	26397	26981	+	585	63
LIHFGKIE_00026	NODE_1_length_164833_cov_14.237466	26998	28851	+	1854	270
LIHFGKIE_00027	NODE_1_length_164833_cov_14.237466	28934	30085	+	1152	211
LIHFGKIE_00028	NODE_1_length_164833_cov_14.237466	30302	32140	+	1839	231
LIHFGKIE_00029	NODE_1_length_164833_cov_14.237466	32143	32829	+	687	74
LIHFGKIE_00030	NODE_1_length_164833_cov_14.237466	32953	35226	+	2274	257
LIHFGKIE_00031	NODE_1_length_164833_cov_14.237466	35331	35858	+	528	69
LIHFGKIE_00032	NODE_1_length_164833_cov_14.237466	36248	36682	-	435	94
LIHFGKIE_00033	NODE_1_length_164833_cov_14.237466	36978	37700	-	723	146
LIHFGKIE_00034	NODE_1_length_164833_cov_14.237466	38236	39234	+	999	191
LIHFGKIE_00035	NODE_1_length_164833_cov_14.237466	39485	40438	+	954	122
LIHFGKIE_00036	NODE_1_length_164833_cov_14.237466	40481	40930	+	450	78
LIHFGKIE_00037	NODE_1_length_164833_cov_14.237466	41736	43055	+	1320	206
LIHFGKIE_00038	NODE_1_length_164833_cov_14.237466	43099	44193	-	1095	195
LIHFGKIE_00039	NODE_1_length_164833_cov_14.237466	44368	44619	+	252	25
LIHFGKIE_00040	NODE_1_length_164833_cov_14.237466	44643	44912	+	270	20
LIHFGKIE_00041	NODE_1_length_164833_cov_14.237466	45000	45314	+	315	40
LIHFGKIE_00042	NODE_1_length_164833_cov_14.237466	45382	47655	-	2274	281
LIHFGKIE_00043	NODE_1_length_164833_cov_14.237466	47784	48632	+	849	91
